id,x,y,z,yaw,pitch,roll
1,-285.13,226.335,-12.6219,2.44814,0.0126363,0.0394972
2,-285.354,226.52,-12.6262,2.44816,0.012598,0.0353404
3,-285.592,226.741,-12.6331,2.44941,0.0115881,0.0340791
4,-285.8,226.935,-12.6277,2.45039,0.0109771,0.0314811
5,-286.008,227.117,-12.6447,2.4506,0.0112186,0.0314363
6,-286.232,227.285,-12.6489,2.45007,0.0105775,0.032258
7,-286.426,227.488,-12.6309,2.45003,0.00936243,0.0333943
8,-286.641,227.654,-12.6465,2.45137,0.00752415,0.0343456
9,-286.842,227.83,-12.6361,2.45135,0.00712308,0.0329587
10,-287.048,228.025,-12.5971,2.45153,0.00295205,0.0320544
11,-287.252,228.189,-12.6066,2.45096,-0.00163273,0.0344889
12,-287.442,228.357,-12.6258,2.45087,-0.00407461,0.0370864
13,-287.641,228.514,-12.6449,2.44995,-0.00335954,0.0381344
14,-287.814,228.676,-12.6499,2.45055,-0.00166892,0.039269
15,-287.99,228.837,-12.6402,2.45104,-0.00122935,0.0397454
16,-288.163,228.986,-12.6757,2.45102,-0.00134442,0.0398556
17,-288.348,229.136,-12.6891,2.45122,0.00096428,0.0411455
18,-288.51,229.289,-12.6799,2.45239,0.00484485,0.0395436
19,-288.665,229.417,-12.6897,2.45261,0.00687698,0.0377863
20,-288.827,229.567,-12.6907,2.4527,0.00632549,0.0346387
21,-288.997,229.696,-12.6911,2.4538,0.00562771,0.0343704
22,-289.157,229.844,-12.6912,2.45324,0.00569122,0.0369177
23,-289.3,229.97,-12.719,2.45283,0.00922074,0.0389619
24,-289.446,230.097,-12.7229,2.45393,0.0124363,0.04117
25,-289.582,230.227,-12.708,2.45461,0.0141485,0.0422551
26,-289.743,230.35,-12.7052,2.45503,0.0146514,0.0438216
27,-289.869,230.464,-12.6906,2.45405,0.0143851,0.0434605
28,-290.014,230.588,-12.6902,2.45521,0.0121244,0.0436663
29,-290.134,230.698,-12.7003,2.45611,0.00974353,0.0435798
30,-290.29,230.823,-12.6785,2.4562,0.00865448,0.0420742
31,-290.417,230.938,-12.6565,2.45663,0.00516088,0.0404623
32,-290.538,231.06,-12.6737,2.45608,0.00164016,0.0403077
33,-290.69,231.173,-12.6711,2.45577,-0.000400721,0.0408846
34,-290.802,231.296,-12.6137,2.4559,-0.00632476,0.0390882
35,-290.923,231.4,-12.64,2.45455,-0.0139561,0.0401514
36,-291.063,231.512,-12.7183,2.45462,-0.0158007,0.040665
37,-291.182,231.599,-12.7757,2.45496,-0.00973871,0.0417201
38,-291.32,231.688,-12.7732,2.4559,-0.000508934,0.0411997
39,-291.413,231.802,-12.7399,2.45619,0.00506417,0.040713
40,-291.559,231.928,-12.7089,2.45628,0.00173458,0.0427918
41,-291.674,232.048,-12.7237,2.45508,-0.000708966,0.0466531
42,-291.809,232.146,-12.744,2.45386,-0.000567511,0.0517949
43,-291.925,232.251,-12.7696,2.45324,0.00127588,0.055859
44,-292.057,232.359,-12.7454,2.45424,0.00357353,0.0539214
45,-292.171,232.445,-12.7437,2.45486,0.00653243,0.0497249
46,-292.277,232.55,-12.7486,2.45547,0.00745692,0.0462066
47,-292.409,232.664,-12.7406,2.45664,0.00544539,0.0463231
48,-292.517,232.784,-12.7612,2.45496,0.00374689,0.0482697
49,-292.616,232.863,-12.7778,2.45387,0.00409245,0.0491947
50,-292.748,232.966,-12.7742,2.45499,0.00515383,0.0511017
51,-292.884,233.074,-12.7695,2.45442,0.00560587,0.0515461
52,-292.988,233.175,-12.7713,2.45336,0.00623587,0.0495878
53,-293.122,233.278,-12.8015,2.45469,0.00955522,0.0490387
54,-293.228,233.386,-12.7643,2.45598,0.0114476,0.048271
55,-293.363,233.504,-12.7316,2.45539,0.00841803,0.0465558
56,-293.484,233.633,-12.7287,2.45381,-0.000326513,0.0437465
57,-293.66,233.746,-12.7861,2.45435,-0.00364619,0.0426621
58,-293.764,233.844,-12.8033,2.45628,-0.00215461,0.0449324
59,-293.89,233.968,-12.7724,2.45712,-0.00321198,0.0475329
60,-294.017,234.073,-12.7631,2.45709,-0.00523452,0.0486138
61,-294.144,234.203,-12.7938,2.455,-0.00718848,0.0502353
62,-294.279,234.32,-12.7793,2.45445,-0.00633281,0.0505377
63,-294.427,234.431,-12.7777,2.45489,-0.00603477,0.0519709
64,-294.552,234.547,-12.7905,2.45441,-0.00558422,0.0525026
65,-294.687,234.668,-12.7876,2.45396,-0.00416427,0.0495303
66,-294.809,234.774,-12.7935,2.45483,-0.0042459,0.047664
67,-294.943,234.893,-12.7925,2.45554,-0.00443725,0.0472962
68,-295.075,235.014,-12.7919,2.45444,-0.00448756,0.0474106
69,-295.222,235.133,-12.7983,2.4545,-0.00508411,0.0485409
70,-295.341,235.243,-12.8003,2.45466,-0.00479517,0.0488352
71,-295.465,235.369,-12.7957,2.45397,-0.00542332,0.0483787
72,-295.587,235.489,-12.7866,2.45325,-0.00515191,0.0484544
73,-295.744,235.598,-12.7959,2.4532,-0.00559323,0.0488316
74,-295.873,235.713,-12.8052,2.45377,-0.00579093,0.0492094
75,-296.024,235.838,-12.8007,2.45357,-0.00562846,0.0489555
76,-296.132,235.953,-12.8004,2.45228,-0.00498533,0.0472525
77,-296.26,236.051,-12.7954,2.45212,-0.00503505,0.0456653
78,-296.41,236.165,-12.8079,2.4538,-0.00525428,0.0455748
79,-296.549,236.313,-12.8259,2.45317,-0.00374055,0.044668
80,-296.705,236.437,-12.8276,2.45353,-0.00262483,0.0449733
81,-296.839,236.558,-12.8097,2.45355,-0.0017151,0.0466151
82,-296.98,236.671,-12.8153,2.45358,-0.00191663,0.0480456
83,-297.107,236.803,-12.8092,2.45335,-0.00215769,0.0466624
84,-297.254,236.918,-12.8179,2.45344,-0.00162408,0.0466598
85,-297.409,237.05,-12.8224,2.45309,-0.000441603,0.0458373
86,-297.54,237.173,-12.8212,2.45298,-0.000597188,0.0454043
87,-297.682,237.306,-12.8156,2.45325,-0.00150303,0.0456233
88,-297.828,237.41,-12.8137,2.45478,-0.00121878,0.0461358
89,-297.974,237.535,-12.8126,2.4546,-0.00189094,0.0460337
90,-298.131,237.684,-12.8233,2.45436,-0.00275592,0.0438304
91,-298.277,237.811,-12.8154,2.45528,-0.00297372,0.0439278
92,-298.407,237.925,-12.8254,2.45574,-0.00281946,0.0432857
93,-298.555,238.042,-12.8306,2.45571,-0.00352826,0.0423585
94,-298.693,238.185,-12.8301,2.45529,-0.00412569,0.0410697
95,-298.859,238.318,-12.8128,2.45569,-0.00544623,0.0400869
96,-299.011,238.455,-12.8153,2.45609,-0.00771088,0.0387699
97,-299.169,238.578,-12.8194,2.45635,-0.00918655,0.0385559
98,-299.304,238.694,-12.8368,2.45761,-0.00980875,0.037717
99,-299.442,238.828,-12.8249,2.45753,-0.00752527,0.0352205
100,-299.592,238.965,-12.8441,2.45827,-0.00680413,0.0348357
101,-299.756,239.086,-12.8603,2.4591,-0.00651977,0.0384518
102,-299.891,239.208,-12.8509,2.45893,-0.00517348,0.0400121
103,-300.049,239.331,-12.8343,2.45963,-0.00600227,0.0382631
104,-300.19,239.476,-12.8483,2.4599,-0.00626496,0.0371457
105,-300.348,239.617,-12.8489,2.46054,-0.00557946,0.0343381
106,-300.499,239.741,-12.8546,2.4613,-0.00504727,0.0330763
107,-300.646,239.858,-12.8631,2.46187,-0.00377041,0.031971
108,-300.802,239.981,-12.8659,2.46291,-0.00404688,0.030918
109,-300.977,240.124,-12.8702,2.46341,-0.00438161,0.030689
110,-301.114,240.265,-12.849,2.46353,-0.00387567,0.0289728
111,-301.278,240.388,-12.8566,2.46346,-0.00431102,0.0285882
112,-301.438,240.521,-12.8554,2.46344,-0.00270487,0.0263656
113,-301.592,240.648,-12.8394,2.46596,-0.00269367,0.0226558
114,-301.75,240.762,-12.8493,2.46887,-0.00552825,0.0221212
115,-301.926,240.914,-12.8456,2.47064,-0.00691454,0.0194091
116,-302.092,241.028,-12.8482,2.47322,-0.00653673,0.0173112
117,-302.246,241.169,-12.8546,2.47501,-0.00642946,0.0189773
118,-302.411,241.285,-12.8647,2.47809,-0.00584058,0.0178004
119,-302.573,241.406,-12.8787,2.48034,-0.00537877,0.0177697
120,-302.745,241.549,-12.8653,2.48221,-0.00490416,0.0170896
121,-302.905,241.676,-12.858,2.48432,-0.00524521,0.0170181
122,-303.085,241.8,-12.8691,2.48727,-0.00534203,0.0162758
123,-303.267,241.929,-12.8632,2.49066,-0.00501935,0.0156631
124,-303.417,242.055,-12.8557,2.49309,-0.00504733,0.0140598
125,-303.59,242.18,-12.8527,2.49615,-0.00555551,0.0136639
126,-303.772,242.296,-12.8644,2.49987,-0.00549645,0.0129365
127,-303.942,242.426,-12.8751,2.50332,-0.00487218,0.012654
128,-304.116,242.558,-12.8628,2.50904,-0.00420534,0.0112535
129,-304.293,242.681,-12.8655,2.51383,-0.00442303,0.0112201
130,-304.492,242.788,-12.8811,2.51893,-0.00483026,0.0125875
131,-304.653,242.904,-12.8642,2.52463,-0.00635455,0.0145152
132,-304.859,243.001,-12.8563,2.53251,-0.00954433,0.017109
133,-305.041,243.108,-12.8401,2.54223,-0.0105239,0.0153118
134,-305.214,243.216,-12.8515,2.55217,-0.0122181,0.0109357
135,-305.407,243.315,-12.8661,2.56332,-0.0134754,0.00802732
136,-305.613,243.41,-12.8651,2.57435,-0.0124314,0.0069759
137,-305.788,243.504,-12.8634,2.58592,-0.0122311,0.00643249
138,-305.992,243.566,-12.8733,2.598,-0.0120622,0.00694954
139,-306.191,243.655,-12.8737,2.61029,-0.0120834,0.00678381
140,-306.392,243.739,-12.8667,2.62328,-0.013089,0.00672325
141,-306.599,243.784,-12.8644,2.63632,-0.0131438,0.00600215
142,-306.814,243.859,-12.8583,2.6504,-0.0133704,0.00368325
143,-306.999,243.93,-12.8825,2.66584,-0.0139146,0.00131253
144,-307.213,243.993,-12.8657,2.6807,-0.0142369,0.00328133
145,-307.409,244.039,-12.8662,2.69534,-0.0135812,0.00482052
146,-307.633,244.093,-12.8801,2.71146,-0.0132604,0.00596467
147,-307.855,244.143,-12.8736,2.72873,-0.0133483,0.00721654
148,-308.079,244.189,-12.8694,2.74684,-0.0126949,0.00742602
149,-308.287,244.224,-12.8631,2.76591,-0.011644,0.00537376
150,-308.512,244.243,-12.8613,2.7871,-0.0106153,0.00397091
151,-308.729,244.264,-12.8782,2.80775,-0.0111819,0.00356272
152,-308.977,244.268,-12.8688,2.82895,-0.011004,0.00164173
153,-309.198,244.298,-12.8687,2.85188,-0.0105097,0.00147752
