id,x,y,z,yaw,pitch,roll
1,1779.09,866.411,-0.179986,0.0338919,-0.0355998,-0.0257587
2,1779.41,866.431,-0.175762,0.0332396,-0.0357618,-0.0260693
3,1779.16,866.426,-0.128433,0.0279171,-0.0216817,-0.0257622
4,1778.88,866.421,-0.0892462,0.0261396,-0.0249377,-0.0278081
5,1778.86,866.382,-0.097598,0.0258782,-0.0263766,-0.0308948
6,1777.95,866.374,-0.0182974,0.0237058,-0.0216158,-0.032672
7,1777.28,866.363,-0.00326862,0.0198669,-0.0223423,-0.0307691
8,1777.24,866.369,-0.0108006,0.0189498,-0.0216208,-0.0290769
9,1776.74,866.395,0.0401505,0.0253299,-0.0100548,-0.0254818
10,1776.41,866.388,0.0414557,0.0247051,-0.0101417,-0.0277134
11,1776.08,866.358,0.0814644,0.0250212,-0.00744702,-0.0258973
12,1775.53,866.311,0.098575,0.0275056,-0.00901207,-0.0272354
13,1775.21,866.325,0.143942,0.0260841,-0.00545423,-0.0293092
14,1774.62,866.32,0.101861,0.0263508,0.00150586,-0.0298789
15,1774.28,866.333,0.113245,0.0276424,0.00478063,-0.0293292
16,1773.99,866.32,0.123446,0.027801,0.0071094,-0.0285041
17,1773.66,866.339,0.102548,0.0244355,0.00648088,-0.0270772
18,1773.08,866.334,0.140277,0.0252924,0.00713579,-0.0288148
19,1772.79,866.33,0.0253753,0.0251465,5.76397e-06,-0.0276595
20,1779.96,866.423,-0.234392,0.0291266,-0.0544405,-0.039465
21,1780.29,866.457,-0.200275,0.0288418,-0.057348,-0.0396601
22,1780.83,866.48,-0.0746508,0.0275218,-0.0485624,-0.0358383
23,1781.14,866.496,-0.087932,0.0254001,-0.0469845,-0.0346614
24,1781.38,866.523,-0.309036,0.0236482,-0.0293233,-0.0306596
25,1781.95,866.527,-0.294404,0.0249062,-0.0301542,-0.0311472
26,1782.27,866.529,-0.298481,0.0254249,-0.0314023,-0.0347003
27,1782.29,866.505,-0.307896,0.0254915,-0.0312453,-0.0347996
28,1783.14,866.535,-0.287827,0.0246207,-0.0251069,-0.0341768
29,1783.48,866.536,-0.289221,0.0279406,-0.0240475,-0.034025
30,1784.03,866.54,-0.284243,0.025544,-0.0258334,-0.0346731
31,1784.37,866.55,-0.283721,0.0264267,-0.0259663,-0.0347714
32,1784.95,866.555,-0.265637,0.0265737,-0.0272203,-0.0335871
33,1784.97,866.56,-0.261663,0.0261446,-0.0242763,-0.0331091
34,1785.27,866.57,-0.288673,0.0240948,-0.0221335,-0.0296843
35,1785.85,866.576,-0.308624,0.025036,-0.0245391,-0.0309384
36,1786.16,866.585,-0.276499,0.024742,-0.0227414,-0.0312361
37,1787,866.564,-0.160201,0.0256273,-0.0127531,-0.0423014
38,1787.4,866.612,-0.193302,0.031637,-0.0104551,-0.040615
39,1787.89,866.596,-0.175693,0.0265643,-0.0122671,-0.0422114
40,1788.23,866.595,-0.0970621,0.0288351,-0.00303883,-0.0400502
41,1788.59,866.604,-0.107871,0.0311368,-0.00356267,-0.0397201
42,1788.87,866.605,-0.110682,0.0312013,-0.0043745,-0.0407905
43,1789.45,866.607,-0.116305,0.0302492,-0.00583361,-0.0409937
44,1789.99,866.624,-0.0627607,0.0289665,0.00589797,-0.0411275
45,1790.31,866.639,-0.0939022,0.0285773,0.00539727,-0.0396054
46,1790.64,866.665,-0.118661,0.030158,0.00662396,-0.0370722
47,1791.23,866.676,-0.164545,0.030861,0.0039086,-0.0347082
48,1791.57,866.698,-0.187363,0.032495,0.00118046,-0.0337924
49,1791.84,866.696,-0.13497,0.0325251,0.0067253,-0.035384
50,1792.72,866.743,-0.106965,0.0340596,0.0105556,-0.0320297
51,1793.04,866.748,-0.118827,0.0356056,0.00965456,-0.031898
52,1793.08,866.731,-0.126192,0.0358802,0.00943884,-0.0314436
53,1793.11,866.71,-0.119005,0.0380676,0.00952039,-0.0310639
54,1793.98,866.744,-0.162665,0.0354096,0.00741461,-0.0316852
55,1794.57,866.78,-0.199689,0.0346687,0.00423216,-0.0306529
56,1794.88,866.777,-0.167307,0.0327237,0.00278876,-0.030648
57,1795.21,866.761,-0.0783751,0.0394566,0.0116307,-0.0237321
58,1795.26,866.753,-0.0693858,0.041262,0.011362,-0.0238784
59,1795.82,866.771,-0.120128,0.0402114,0.00730518,-0.0256607
60,1795.88,866.78,-0.152104,0.0425817,0.00839878,-0.0237487
61,1796.19,866.773,-0.148565,0.0419427,0.0070511,-0.025138
62,1796.75,866.825,-0.197173,0.0411615,0.00295726,-0.0232659
63,1797.09,866.857,-0.214328,0.0434086,-0.000666822,-0.0206653
64,1797.07,866.842,-0.24511,0.0418411,-0.00437186,-0.0207612
65,1797.1,866.828,-0.291929,0.0440666,-0.00708683,-0.0186258
66,1797.23,866.848,-0.324007,0.0482817,-0.0126912,-0.0176069
67,1797.23,866.833,-0.437092,0.0480924,-0.0250454,-0.0210537
68,1797.45,866.83,-0.421429,0.0451893,-0.0259514,-0.0213579
69,1797.54,866.831,-0.411109,0.0487464,-0.0221861,-0.0228589
70,1797.52,866.836,-0.40245,0.0468944,-0.0201424,-0.0237387
71,1797.5,866.812,-0.359767,0.04881,-0.0158591,-0.0224393
72,1797.47,866.806,-0.27358,0.0472839,-0.00867335,-0.0182485
73,1797.49,866.788,-0.270654,0.0473636,-0.00885337,-0.0182223
74,1797.35,866.783,-0.301364,0.0405879,-0.00543137,-0.0165405
75,1797.26,866.764,-0.288377,0.0385702,-0.00221166,-0.0143537
76,1797.32,866.809,-0.417896,0.041144,-0.0061521,-0.0106873
77,1797.27,866.641,-0.301423,0.0326547,-0.00510786,-0.0123011
78,1797.26,866.641,-0.299918,0.0331221,-0.00707732,-0.0138329
79,1797.26,866.631,-0.314108,0.032631,-0.00716828,-0.0143409
80,1797.25,866.635,-0.305813,0.033233,-0.00637154,-0.013676
81,1797.26,866.62,-0.308732,0.0324656,-0.00468159,-0.0137296
82,1797.25,866.61,-0.31798,0.0329957,-0.00449701,-0.0138474
83,1797.3,866.591,-0.362667,0.0342309,-0.00646204,-0.014293
84,1797.31,866.562,-0.366196,0.0352473,-0.00572793,-0.0128686
85,1797.3,866.577,-0.363767,0.0350863,-0.00614679,-0.0124483
86,1797.33,866.547,-0.343153,0.0372389,-0.00369171,-0.0120663
87,1797.33,866.574,-0.352692,0.0376633,-0.00449389,-0.0119352
88,1797.32,866.578,-0.342802,0.0391769,-0.00373077,-0.0123046
89,1797.39,866.547,-0.361427,0.0411553,-0.00593171,-0.0139303
90,1797.66,866.544,-0.384374,0.0434207,-0.00614361,-0.0143917
91,1798.04,866.554,-0.406034,0.0442676,-0.00867851,-0.0141993
92,1798.03,866.536,-0.407288,0.0432937,-0.0119531,-0.015696
93,1798.39,866.547,-0.516061,0.0410901,-0.019221,-0.0167325
94,1798.36,866.53,-0.536902,0.0405692,-0.0192438,-0.018042
95,1798.05,866.524,-0.504674,0.0407992,-0.0163008,-0.0167404
96,1797.98,866.541,-0.520995,0.0420339,-0.0169728,-0.01807
97,1798.01,866.542,-0.556897,0.0431359,-0.01768,-0.0191869
98,1798.04,866.546,-0.572884,0.0428268,-0.0183526,-0.0185424
99,1798.06,866.546,-0.560854,0.0423873,-0.0175957,-0.0183045
100,1798.36,866.568,-0.53446,0.0427961,-0.0147781,-0.0165337
101,1799.25,866.539,-0.727798,0.0431122,-0.0100342,-0.0259238
102,1799.55,866.566,-0.759236,0.043174,-0.0104401,-0.027634
103,1799.9,866.577,-0.849332,0.0424834,-0.0164988,-0.0313953
104,1800.18,866.588,-0.847646,0.0410716,-0.0180855,-0.0316305
105,1800.52,866.596,-0.834875,0.0416986,-0.0196276,-0.0314642
106,1801.17,866.621,-0.817054,0.0435078,-0.0225921,-0.0287868
107,1801.74,866.627,-0.865052,0.0414852,-0.0230242,-0.0312051
108,1802.27,866.649,-0.888092,0.0399074,-0.025891,-0.0293014
109,1803.02,866.644,-0.869343,0.0399267,-0.0254519,-0.0314772
110,1803.2,866.649,-0.862922,0.038031,-0.0273622,-0.0301942
111,1803.7,866.685,-0.897923,0.0409976,-0.0305225,-0.0294252
